nimi;kirjeldus;id;registrikood;omanik
Loomataudide tõrje;Loomataudide tõrje tulenevalt loomataudist ja selle tõrje eeskirjast;VET-022;70000094;
Loomatervishoiu järelevalve;Loomapidamiskohtade kontroll hindamaks loomapidamise vastavust kehtivatele nõuetele;VET-020;70000094;
Loomsete kõrvalsaaduste või neist saadud toodete kasutamise või kõrvaldamise erandiks loa taotlemine;Käitleja, kes soovib loomseid kõrvalsaadusi või neist saadud tooteid kõrvaldada või kasutada muul kui loomsete kõrvalsaaduste määruses ettenähtud viisil, on vajalik selliseks tegevuseks Veterinaar- ja Toiduameti luba;VET-018;70000094;48812124711
Loomsete kõrvalsaaduste või neist saadud toodete käitlemiseks tegevusloa taotlemine või tegevusest teatamine;Käitleja, kes soovib käidelda loomseid kõrvalsaadusi või neist saadud tooteid, peab enne tegevuse alustamist tegevusest teatama majandustegevusteatisega või omama Veterinaar- ja Toiduameti tegevusluba;VET-017;70000094;48812124711
Elusloomi vedava maanteesõiduki juhi või saatja pädevustunnistuse taotlemine;Taotleja esitab VTA loomakaitsebüroole registreerimistaotluse vedajate koolitusele. Eksamitulemuste alusel VTA väljastab või ei väljasta taotlejale pädevustunnistuse.;VET-016;70000094;48812124712
Avalik dokumendiregister;Inspektsiooni saabunud ja asutuses koostatud dokumentide registreerimiseks ja neile juurdepääsu tagamiseks peetav register;AKI-017;70004235;
Elusloomade veoloa taotlemine;Taotleja esitab tegevusloa taotluse kohalikule veterinaarkeskusele. Veterinaarkeskus kontrollib andmed üle, vajadusel teeb kontrolli akti ning seejärel väljastab/või ei väljasta veoloa.;VET-015;70000094;48812124712
Veise registreerimine EL passilt;EL riikidest toodud veise andmete registrisse kandmine;PRIA-162;70005967;48812124713
Veterinaartõendi registreerimine;Veterinaartõendi 5T andmete registrisse kandmine;PRIA-161;70005967;48812124713
Toidulisandi või eritoidu esmakordse turuleviimise teatise esitamine;Vastavalt Toiduseadusele tuleb turuleviijal toidulisandi ja eritoidu esmakordsel turuleviimisel sellest Veterinaar- ja Toiduametit teavitada. Turuleviijaks võib olla nii toidu tootja, maaletooja kui ka edasine turustaja.;VET-014;70000094;48812124714
Toote määratlemise taotluse esitamine;Ravimiamet määratleb kas toode on ravim või mitte. Juhul kui toode määratletakse ravimina, kehtivad sellele kõik ravimitega seotud nõuded.;RAVI-046;70003477;
Rakkude, kudede ja elundite ohujuhtumite esitamine;Rakkude, kudede ja elundite ohujuhtumite vastuvõtmine ning nende menetlemine.;RAVI-045;70003477;
Ravimite ohusignaalide tuvastamine ja analüüs;Ravimiamet tuvastab ja hindab ravimite ohusignaale Euroopa Liidu juhtliikmesriigina.;RAVI-044;70003477;
Perioodiliste ohutusaruannete hindamine;Ravimiamet hindab perioodiliste ohutusaruannete põhjal ravimi kasu ja ohtude suhet Euroopa Liidu juhtliikmesriigina.;RAVI-043;70003477;
Ravimireklaami järelevalve;Ravimiamet teeb järelevalvet müügiloa hoidjate ravimireklaamialaste tegevuste üle ja kooskõlastab vaktsineerimiskampaaniad.;RAVI-041;70003477;
Ravimiohutusalaste tegevuste inspekteerimine;Ravimiamet teeb järelevalvet müügiloa hoidjate ravimiohutuslaste tegevuste üle.;RAVI-040;70003477;
Kliiniliste uuringute inspekteerimine;Ravimiamet teeb järelevalvet kliiniliste uuringute teostajate üle.;RAVI-039;70003477;
Rakkude, kudede ja elundite hankijate ja käitlejate inspekteerimine;Ravimiamet teeb järelevalvet rakkude, kudede ja elundite hankijate ja käitlejate üle.;RAVI-038;70003477;
Vere käitlejate inspekteerimine;Ravimiamet teeb järelevalvet verekäitlejate üle.;RAVI-037;70003477;
Ravimite, narkootiliste ja psühhotroopsete ainete ja lähteainete käitlemise inspekteerimine;Ravimiamet teeb järelevalvet ravimite käitlemise üle.;RAVI-036;70003477;
Ravimite kvaliteedi laboratoorne hindamine;Laboratoorne kontroll näitab, kas Eestis müüdavad ja müügile tulevad ravimid vastavad kvaliteedinõuetele.;RAVI-035;70003477;
Statistiliste analüüside tellimine;Ravimiamet teeb tellimuste alusel ravimite müügi andmete põhjal spetsiifilisemaid ravimikasutuse aruandeid. ;RAVI-034;70003477;
Arvamuse andmine ravimi soodusravimite loetellu kandmiseks;Ravimiamet annab arvamuse (sisendi Ravimikomisjoni aruteluks) ravimi meditsiiniliste omaduste kohta võrreldes teiste võimalike raviviisidega. ;RAVI-033;70003477;
Tarnehäiretest teatamine;Müügiloa hoidjad on kohustatud Ravimiametit võimalikust ravimi tarneraskusest teavitama.;RAVI-032;70003477;
Müügiloaga ravimi võõrkeelse pakendi loa taotlemine;Ravimi tarneraskuse korral saab müügiloa hoidja esitada taotluse ravimi võõrkeelse pakendi turustamiseks Eestis. ;RAVI-031;70003477;
Kliinilise uuringu kõrvalnähtudest teatamine;Ravimiamet hindab teatisi ja ravimiga seotud riske.;RAVI-030;70003477;
Kliinilise uuringu lubade andmine;Ravimiamet väljastab kliiniliste uuringute teostamiseks lube, mis annavad õiguse uuringuid Eestis läbi viia.;RAVI-029;70003477;
Koodide taotlemine;Ravimite, eritoitude ja toidulisandite pakenditele pakendikoodide väljastamine. ;RAVI-028;70003477;
Lähteainete käitlejate registreerimine;Lähteainete käitlejad peavad ennast Ravimiametis registreerima.;RAVI-027;70003477;
Narkootiliste ja psühhotroopsete ainete teaduslikuks eesmärgiks kasutamise loa taotlemine;Teadusasutused peavad narkootiliste ja psühhotroopsete ainete teaduslikuks  kasutamiseks taotlema Ravimiametilt loa.;RAVI-026;70003477;
Ravimite ja lähteainete käitlemise või ravimite vahendamise tegevusloa taotlemine;Ravimite ja lähteainete käitlemiseks või ravimite vahendamiseks Eestis peab olema  Ravimiameti  antud  tegevusluba. Tegevusluba võib olla  antud  ravimite jae- või hulgimüügiks, ravimite vahendamiseks või ravimite tootmiseks. ;RAVI-025;70003477;
Lähteainete käitlemise aastaaruande esitamine;Narkootikumide lähteainete käitlemise tegevusloa omajad ning registreeritud narkootikumide lähteainete käitlejad peavad esitama Ravimiametile lähteainete käitlemise aastaaruandeid. ;RAVI-024;70003477;
Lähteainete impordi-ekspordiluba;Narkootikumide lähteainete ekspordiks on vaja taotleda Ravimiametilt  luba. Loa andmisel esitavad lähte ja sihtriik üksteisele ekspordi- ja imporditeatisi. Loa taotluse saavad esitada tegevusluba omavad või registreeritud  lähteainete käitlejad.;RAVI-023;70003477;
Verevalvsus juhtumite teatiste esitamine;Verevalvsuse korra kohaselt käsitletavate juhtumite vastuvõtmine ning nende menetlemine.;RAVI-022;70003477;
Verevalvsuse juhtumite aastaaruannete esitamine;Verevalvsuse korra kohaselt käsitletavate juhtumite aastaaruannete vastuvõtmine ning nende menetlemine, mille põhjal teeb Ravimiamet aruande Sotsiaalministeeriumile, avaldab veebis, saadab käitlejatele ja teeb koondaruande Euroopa Komisjonile. ;RAVI-021;70003477;
Taotluse esitamine veterinaarsertifikaadi saamiseks loomade ja loomsete saaduste väljaveol;Teenus võimaldab asukohajärgsest veterinaarkeskusest taodelda veterinaarsertifikaati loomade ja loomsete saaduste väljaviimisel EL-välisesse riiki või teise liikmesriiki, aga ka lemmikloomaga reisimisel EL-i välisesse riiki (kui vaja). ;VET-013;70000094;48812124715
Vee terviseohutuse järelevalve ja andmete avalikustamine;Veekvaliteedi üle järelevalve teostamine ja andmete avalikustamine - joogivesi, veeallikavesi,  mineraalvesi, suplusvesi, basseinivesi.;TA-002;70008799;
Vee terviseohutuse enesekontrolli andmete esitamine;Veeanalüüside enesekontrolli andmete esitamine veekäitlejate poolt - joogivesi, veeallikavesi,  mineraalvesi, suplusvesi, basseinivesi.;TA-001;70008799;
Keskkonna kohandamise vajaduse hindamine ja nõustamine;Keskkonna kohandamise vajaduse selgitame välja inimese kodus või töökohas lähtuvalt inimese tegevusvõimest ning keskkonnast, kus ta elab või töötab.;AKK-009;70003566;48812124716
Abivahendivajaduse hindamine ja nõustamine;Abivahendi vajaduse selgitame välja inimese kodus või töökohas  lähtuvalt inimese tegevusvõimest ning keskkonnast, kus ta elab või töötab.;AKK-008;70003566;48812124716
Hindamine ja nõustamine sobivate tegevusvõimaluste väljaselgitamiseks (erivajadustega inimestele);Pakume võimalust oma võimete ja vajaduste hindamiseks, kutsesobivuse ja tegevusvõimaluste väljaselgitamiseks;AKK-007;70003566;48812124717
Kutseõpe erivajadustega inimestele;Koostöös Haapsalu Kutsehariduskeskusega pakume võimalust kutsehariduse omandamiseks.;AKK-006;70003566;48812124718
Tööõppekursused erivajadustega inimestele;Tööõppekursustel pakume tööealistele erivajadusega inimestele võimalust praktiliste tööoskuste omandamiseks erinevatel erialadel.;AKK-005;70003566;48812124718
Kohanemiskursused erivajadustega inimestele erialavaliku toetamiseks ja igapäevaeluoskuste õppeks;Kohanemiskursustel pakume tööealistele erivajadustega inimestele võimalust õppida ennast ja oma võimalusi eneseteostuseks paremini tundma;AKK-004;70003566;48812124718
Tervisetõendi teenus;Patsient saab elektroonselt koostada tervisedeklaratsiooni, taotleda tervisetõendit. Tervisetõendi väljastaja saab teha otsuse ja vormistada tervisetõendi elektroonselt. Tervisetõend on kättesaadav koheselt mootorsõidukijuhi lubade väljastajale.;TERV-010;90009016;
Kaitstud töö erivajadustega inimestele;Pakume tööealistele erivajadusega inimestele võimalust võimetekohaseks tööks puidutöö, lihttöö ja käsitöö töötubades.;AKK-003;70003566;48812124719
Terviseandmete statistika;Tervise infosüsteemi kasutajate ja seal olevate dokumentide ning andmete analüüs ja aruandlus.;TERV-009;90009016;
Tööalane rehabilitatsioon;Pakume erinevaid sotsiaalhoolekande seaduse § 57  kehtestatud rehabilitatsiooniteenuseid inimestele, keda on teenusele suunanud Töötukassa. ;AKK-002;70003566;48812124717
Puude ja töövõime määramise teenus;Töövõime ja puude hindamiseks on ekspertarstil ja ekspertiisi spetsialistil võimalik kasutada tervise infosüsteemis olevaid andmeid. Patsiendil on võimalik riikliku patsiendiportaali kaudu näha, kas ekspertarvamus on koostatud. ;TERV-008;90009016;
Laboriandmete teenus;Laboriuuringute vastused saab elektroonselt edastada tervise infosüsteemi ning läbi tervise infosüsteemi on laboriuuringud kättesaadavad arstidele ning patsientidele. ;TERV-007;90009016;
Teenus kiirabi töötajatele;Erakorralise juhtumi puhul liigub info Häirekeskuse kiirabi brigaadi erkaorralise medistiini osakonna vahel elektroonselt ning on hiljem kättesaadav kiirabiasutusele, patsiendile ja pere- ning eriarstidele. ;TERV-006;90009016;
Digiarhiivi (digipildi) teenus;Pildipangas olevad digitaalsed dokumendid on integreeritult terviseloo dokumentidega tervishoiu teenuse osutajatele kättesaadavad.;TERV-004;90009016;
Sotsiaalne rehabilitatsioon;Pakume erinevaid sotsiaalse rehabilitatsiooni teenused inimestele, keda on teenusele suunanud Sotsiaalkindlustusamet;AKK-001;70003566;48812124717
e-konsultatsiooni teenus arstile;Perearstil ja eriarstil on võimalus tervishoiu teenuse osutamiseks küsida täiendavat informatsiooni või arvamust eriarstilt.;TERV-003;90009016;
Kriminaalmenetluse kohtueelse ja kohtumenetluse andmete hoidmine;Kriminaalmenetluse andmete hoidmine, eesmärgiga tagada ülevaadet menetluses olevatest ning lõpetatud kriminaalasjadest ning neis teostatud toimingutest.;JUM-057;70000898;48812124720
Ehitusvaldkonna inspektori vastuvõtu broneerimine;Broneerimiskeskkonnas saab broneerida aja ehitusvaldkonna inspektori vastuvõtule. Ehitusvaldkonna inspektorid tegelevad planeeringutega, ehitusprojektidega ja hoonete kasutuslubadega.;RES-203;70000585;
Hügieeniproovide analüüsid;Hügieeniproovide analüüsid;VETL-013;70000065;
Heitvee analüüsid;Heitvee analüüsid;VETL-012;70000065;
Vee keemilised ja füüsikalised analüüsid;Vee keemilised ja füüsikalised analüüsid;VETL-011;70000065;
Vee mikrobioloogilised analüüsid;Vee mikrobioloogilised analüüsid;VETL-010;70000065;
Alkoholianalüüsid;Alkoholianalüüsid;VETL-009;70000065;
Toidu keemilised ja füüsikalised analüüsid;Toidu keemilised ja füüsikalised analüüsid;VETL-008;70000065;
Toidu mikrobioloogilised analüüsid;Toidu mikrobioloogilised analüüsid;VETL-007;70000065;
Loomahaiguste parasitoloogilised uuringud;Loomahaiguste parasitoloogilised uuringud;VETL-006;70000065;
Loomahaiguste molekulaardiagnostilised uuringud;Loomahaiguste molekulaardiagnostilised uuringud;VETL-005;70000065;
Loomahaiguste patoloogilis-histoloogilised uuringud;Loomahaiguste patoloogilis-histoloogilised uuringud;VETL-004;70000065;
Loomahaiguste viroloogilised uuringud;Loomahaiguste viroloogilised uuringud;VETL-003;70000065;
